Albedo	NDVI_StdDev_Antalya	DEM	Aspect	Land_Cover	Precipitation	Slope	Soil_Organic_Carbon	Soil_pH	SoilpH	LST	Clay_Content	SoilTexture	LandUse	Annual_Temperature
176.290323	0.146074	4	90	50	857.367231	1.149985	<Null>	<Null>	75	315.642147	<Null>	7	50	25.597917
197.25	0.121162	4	90	60	857.367231	3.44633	<Null>	<Null>	74	313.519557	<Null>	7	50	25.597917
194.90625	0.092177	5	270	50	857.367231	1.149961	<Null>	<Null>	78	315.409722	<Null>	7	50	25.597917
194.90625	0.1386	3	0	50	862.4553	0	<Null>	<Null>	75	314.941453	<Null>	7	50	25.597917
149.269231	0.051681	6	140.4223	50	862.4553	3.605269	<Null>	<Null>	72	314.08353	<Null>	7	10	25.597917
202.195122	0.141009	12	0	50	857.367231	0	254.333333	72.666667	72	316.095035	273	7	50	25.597917
<Null>	0.134118	4	0	50	837.410093	0	<Null>	<Null>	72	315.607967	<Null>	7	50	25.552083
194.90625	0.138954	4	270	60	862.4553	2.298881	<Null>	<Null>	74	315.143116	<Null>	7	50	25.597917
180.615385	0.09279	2	148.2006	50	857.367231	2.181538	<Null>	<Null>	74	315.37896	<Null>	7	50	25.597917
189.358974	0.151132	3	231.1172	50	857.367231	1.477207	355	71.666667	77	313.280295	265.666667	7	50	25.597917
193.4	0.125772	3	51.11774	50	857.367231	1.477223	<Null>	<Null>	78	314.920945	<Null>	7	50	25.597917
200.175	0.091343	6	111.9597	50	857.367231	2.478679	<Null>	<Null>	74	316.065982	<Null>	7	50	25.597917
238.575	0.11746	8	128.8842	50	857.367231	1.477162	<Null>	<Null>	72	314.380898	<Null>	7	10	25.597917
260.710526	0.100431	6	231.1147	50	862.4553	1.477124	304.666667	<Null>	74	315.977113	<Null>	7	50	25.597917
222.105263	0.079791	6	90	50	862.4553	1.14985	<Null>	<Null>	71	316.148014	<Null>	7	50	25.597917
<Null>	0.164209	3	51.10958	60	862.4553	1.476962	<Null>	<Null>	72	316.305243	<Null>	7	50	25.597917
<Null>	0.064636	1	180	50	837.410093	0.92741	<Null>	<Null>	73	316.168522	<Null>	7	50	25.552083
185.9	0.106741	5	180	50	837.410093	0.92741	<Null>	<Null>	73	316.021547	<Null>	7	50	25.552083
206.609756	0.126755	6	0	50	837.410093	0	<Null>	<Null>	71	315.580623	<Null>	7	50	25.552083
202.95	0.151421	6	31.79585	50	837.410093	2.181454	<Null>	<Null>	72	316.346259	<Null>	7	50	25.552083
168.15	0.140873	9	128.8861	50	837.410093	2.952237	<Null>	<Null>	75	316.400948	<Null>	7	50	25.552083
168.15	0.150389	10	180	50	837.410093	4.627367	<Null>	<Null>	71	315.966859	<Null>	7	50	25.552083
150.487179	0.127756	7	231.1275	50	763.978433	1.477535	<Null>	<Null>	70	313.42727	<Null>	7	50	24.979167
132.756098	0.171384	12	90	10	770.504158	1.150419	318.666667	68	68	311.800293	208.333333	7	10	23.727083
151.235294	0.074554	30	148.1906	60	720.417552	4.357242	280	72.333333	73	313.499049	246.333333	7	10	24.8125
156.459459	0.104323	55	31.80835	60	720.417552	2.181749	303.666667	72.666667	75	309.438441	267	7	10	24.479167
156.459459	0.049458	47	248.0462	60	720.417552	2.479316	275	73	74	309.623014	267.666667	7	50	24.479167
151.342857	0.151319	21	231.1291	50	720.417552	1.477586	274.333333	72.666667	74	307.216728	257.333333	7	50	24.8125
176.166667	0.060911	24	90	50	720.417552	1.150165	299.333333	72.666667	74	314.551799	258	7	60	24.8125
154.222222	0.058246	23	308.8808	60	720.417552	1.477271	268	72	74	314.348427	246.666667	7	50	24.8125
47.333333	0.053962	6	211.8	40	710.186666	2.181551	446	70.666667	77	314.192907	239.333333	7	50	<Null>
144.589744	0.037631	5	90	40	710.186666	1.149957	542	72	70	312.384774	231.333333	7	50	<Null>
